,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,month
0,Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Men's Street Footwear,50.0,1200.0,60000.0,30000.0,In-store,2020,1
1,Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000.0,50000.0,15000.0,In-store,2020,1
2,Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Women's Street Footwear,40.0,1000.0,40000.0,14000.0,In-store,2020,1
3,Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Athletic Footwear,45.0,850.0,38250.0,13388.0,In-store,2020,1
4,Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,In-store,2020,1
5,Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Women's Apparel,50.0,1000.0,50000.0,12500.0,In-store,2020,1
6,Foot Locker,1185732,2020-01-09,Northeast,New York,New York,Men's Street Footwear,50.0,1250.0,62500.0,31250.0,In-store,2020,1
7,Foot Locker,1185732,2020-01-10,Northeast,New York,New York,Men's Athletic Footwear,50.0,900.0,45000.0,13500.0,Outlet,2020,1
8,Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Women's Street Footwear,40.0,950.0,38000.0,13300.0,Outlet,2020,1
9,Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Athletic Footwear,45.0,825.0,37125.0,12994.0,Outlet,2020,1
10,Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,Outlet,2020,1
11,Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Women's Apparel,50.0,1000.0,50000.0,12500.0,Outlet,2020,1
12,Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Men's Street Footwear,50.0,1220.0,61000.0,30500.0,Outlet,2020,1
13,Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Men's Athletic Footwear,50.0,925.0,46250.0,13875.0,Outlet,2020,1
14,Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Women's Street Footwear,40.0,950.0,38000.0,13300.0,Outlet,2020,1
15,Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Athletic Footwear,45.0,800.0,36000.0,12600.0,Outlet,2020,1
16,Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Apparel,60.0,850.0,51000.0,15300.0,Outlet,2020,1
17,Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Women's Apparel,50.0,950.0,47500.0,11875.0,Outlet,2020,2
18,Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Men's Street Footwear,50.0,1200.0,60000.0,30000.0,Outlet,2020,2
19,Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Men's Athletic Footwear,50.0,900.0,45000.0,13500.0,Outlet,2020,2
20,Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Women's Street Footwear,40.0,900.0,36000.0,12600.0,Outlet,2020,2
21,Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Athletic Footwear,45.0,825.0,37125.0,12994.0,Outlet,2020,2
22,Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Apparel,60.0,825.0,49500.0,14850.0,Outlet,2020,2
23,Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Women's Apparel,50.0,950.0,47500.0,11875.0,Outlet,2020,2
24,Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Men's Street Footwear,60.0,1220.0,73200.0,36600.0,Outlet,2020,2
25,Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Men's Athletic Footwear,55.0,925.0,50875.0,15263.0,Outlet,2020,2
26,Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Women's Street Footwear,50.0,900.0,45000.0,15750.0,Outlet,2020,2
27,Foot Locker,1185732,2020-02-11,Northeast,New York,New York,Women's Athletic Footwear,50.0,850.0,42500.0,14875.0,Outlet,2020,2
28,Foot Locker,1185732,2020-02-12,Northeast,New York,New York,Men's Apparel,60.0,875.0,52500.0,15750.0,Outlet,2020,2
29,Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Women's Apparel,65.0,1000.0,65000.0,16250.0,Outlet,2020,3
30,Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Men's Street Footwear,60.0,1250.0,75000.0,37500.0,Outlet,2020,3
31,Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000.0,55000.0,16500.0,Outlet,2020,3
32,Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Women's Street Footwear,50.0,925.0,46250.0,16188.0,Outlet,2020,3
33,Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,45000.0,15750.0,Outlet,2020,3
34,Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,Outlet,2020,3
35,Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Women's Apparel,65.0,1050.0,68250.0,17063.0,Outlet,2020,3
36,Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Men's Street Footwear,60.0,1275.0,76500.0,38250.0,Outlet,2020,3
37,Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025.0,56375.0,16913.0,Outlet,2020,3
38,Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Women's Street Footwear,50.0,950.0,47500.0,16625.0,Outlet,2020,3
39,Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,45000.0,15750.0,Outlet,2020,3
40,Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Apparel,60.0,925.0,55500.0,16650.0,Outlet,2020,3
41,Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Women's Apparel,65.0,1100.0,71500.0,17875.0,Outlet,2020,3
42,Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Men's Street Footwear,60.0,1250.0,75000.0,37500.0,Outlet,2020,3
43,Foot Locker,1185732,2020-03-19,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025.0,56375.0,16913.0,Outlet,2020,3
44,Foot Locker,1185732,2020-03-20,Northeast,New York,New York,Women's Street Footwear,50.0,950.0,47500.0,16625.0,Outlet,2020,3
45,Foot Locker,1185732,2020-04-02,Northeast,New York,New York,Women's Athletic Footwear,50.0,925.0,46250.0,16188.0,Outlet,2020,4
46,Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,Outlet,2020,4
47,Walmart,1185732,2020-04-20,Northeast,New York,New York,Women's Apparel,65.0,1075.0,69875.0,17469.0,Outlet,2020,4
48,Walmart,1185732,2020-04-21,Northeast,New York,New York,Men's Street Footwear,60.0,1200.0,72000.0,36000.0,Outlet,2020,4
49,Walmart,1185732,2020-04-22,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000.0,55000.0,16500.0,Outlet,2020,4
50,Walmart,1185732,2020-04-23,Northeast,New York,New York,Women's Street Footwear,50.0,925.0,46250.0,16188.0,Outlet,2020,4
51,Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,45000.0,15750.0,Outlet,2020,4
52,Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,Outlet,2020,4
53,Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,65.0,1000.0,65000.0,16250.0,Outlet,2020,4
54,Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Apparel,65.0,875.0,56875.0,17063.0,Outlet,2020,4
55,Walmart,1185732,2020-04-28,Northeast,New York,New York,Women's Apparel,70.0,1000.0,70000.0,17500.0,Outlet,2020,4
56,Walmart,1185732,2020-04-29,Northeast,New York,New York,Men's Street Footwear,65.0,1150.0,74750.0,37375.0,Outlet,2020,4
57,Walmart,1185732,2020-04-30,Northeast,New York,New York,Men's Athletic Footwear,55.0,975.0,53625.0,16088.0,Outlet,2020,4
58,Walmart,1185732,2020-05-01,Northeast,New York,New York,Women's Street Footwear,55.0,920.0,50600.0,17710.0,Outlet,2020,5
59,Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Athletic Footwear,55.0,900.0,49500.0,17325.0,Outlet,2020,5
60,Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Apparel,65.0,875.0,56875.0,17063.0,Outlet,2020,5
61,Walmart,1185732,2020-05-04,Northeast,New York,New York,Women's Apparel,70.0,975.0,68250.0,17063.0,Outlet,2020,5
62,Walmart,1185732,2020-05-05,Northeast,New York,New York,Men's Street Footwear,65.0,1200.0,78000.0,39000.0,Outlet,2020,5
63,Walmart,1185732,2020-05-06,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000.0,55000.0,16500.0,Outlet,2020,5
64,Walmart,1185732,2020-05-07,Northeast,New York,New York,Women's Street Footwear,55.0,950.0,52250.0,18288.0,Outlet,2020,5
65,Walmart,1185732,2020-05-08,Northeast,New York,New York,Women's Athletic Footwear,55.0,900.0,49500.0,17325.0,Outlet,2020,5
66,Walmart,1185732,2020-05-09,Northeast,New York,New York,Men's Apparel,65.0,900.0,58500.0,17550.0,Outlet,2020,5
67,Walmart,1185732,2020-07-20,Northeast,New York,New York,Women's Apparel,70.0,1000.0,70000.0,17500.0,Outlet,2020,7
68,Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Men's Street Footwear,25.0,900.0,22500.0,7875.0,Outlet,2020,7
69,Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Men's Athletic Footwear,35.0,900.0,31500.0,11025.0,Outlet,2020,7
70,Sports Direct,1197831,2020-07-23,Northeast,New York,New York,Women's Street Footwear,35.0,700.0,24500.0,8575.0,Outlet,2020,7
71,Sports Direct,1197831,2020-07-24,Northeast,New York,New York,Women's Athletic Footwear,35.0,700.0,24500.0,11025.0,Outlet,2020,7
72,Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Apparel,40.0,550.0,22000.0,6600.0,Outlet,2020,7
73,Sports Direct,1197831,2020-07-26,South,Texas,Houston,Women's Apparel,35.0,700.0,24500.0,12250.0,Outlet,2020,7
74,Sports Direct,1197831,2020-07-27,South,Texas,Houston,Men's Street Footwear,25.0,850.0,21250.0,7438.0,Outlet,2020,7
75,Sports Direct,1197831,2020-07-28,South,Texas,Houston,Men's Athletic Footwear,35.0,850.0,29750.0,10413.0,Outlet,2020,7
76,Sports Direct,1197831,2020-07-29,South,Texas,Houston,Women's Street Footwear,35.0,675.0,23625.0,8269.0,Outlet,2020,7
77,Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Athletic Footwear,35.0,625.0,21875.0,9844.0,Outlet,2020,7
78,Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Apparel,40.0,500.0,20000.0,6000.0,Outlet,2020,7
